City,Location,Facility ID,Hostname,Shelf No,Node IP Address
Chennai,TIDEL,TN-MAA-TDL-T1-ST,MAATDL-MCN-O-I614-01,Shelf-1,100.66.56.129
,,,,Shelf-2,100.66.56.130
,,,,Shelf-3,100.66.56.131
,VELACHERY,TN-MAA-VEL-T1-ST,MAAVEL-MCN-O-I614-01,Shelf-1,100.66.56.132
,,,,Shelf-2,100.66.56.133
,,,,Shelf-3,100.66.56.134
,TATA-VSB,TN-MAA-SSF-B1-TA,MAASSF-MCL-O-I614-01,Shelf-1,100.66.56.135
,,,,Shelf-2,100.66.56.136
,,,,Shelf-3,100.66.56.137
,SANTHOME,TN-MAA-FPS-B1-BL,MAAFPS-MCL-O-I614-01,Shelf-1,100.66.56.138
,,,,Shelf-2,100.66.56.139
,,,,Shelf-3,100.66.56.140
,NETMAGIC,TN-MAA-NMG-B1-NM,MAANMG-MCD-O-I614-01,Shelf-1,100.66.56.141
,,,,Shelf-2,100.66.56.142
,,,,Shelf-3,100.66.56.143
,TCL-AMB,TN-MAA-TMC-B1-TA,MAATMC-MCD-O-I614-01,Shelf-1,100.66.56.144
,,,,Shelf-2,100.66.56.145
,T NAGAR,TN-MAA-TFR-B1-ST,MAATFR-MCM-O-I614-01,Shelf-1,100.66.56.146
,,,,Shelf-2,100.66.56.147
,,,,Shelf-3,100.66.56.148
Bangalore,IDC(E-CITY),KA-BLR-BID-T1-ST,BLRBID-MCN-O-I614-01,Shelf-1,100.66.74.129
,,,,Shelf-2,100.66.74.130
,,,,Shelf-3,100.66.74.131
,VASANTH NAGAR,KA-BLR-VNG-T1-ST,BLRVNG-MCN-O-I614-01,Shelf-1,100.66.74.132
,,,,Shelf-2,100.66.74.133
,,,,Shelf-3,100.66.74.134
,AIRTEL IDC,KA-BLR-AID-B1-BL,BLRAID-MCD-O-I614-01,Shelf-1,100.66.74.135
,,,,Shelf-2,100.66.74.136
,Sanjay Nagar,KA-BLR-DME-B1-TA,BLRDME-MCM-O-I614-01,Shelf-1,100.66.74.137
,,,,Shelf-2,100.66.74.138
,HSR LAYOUT,KA-BLR-HLY-B1-ST,BLRHLY-MCM-O-I614-01,Shelf-1,100.66.74.139
,,,,Shelf-2,100.66.74.140
,JAYA NAGAR,KA-BLR-JYN-B1-ST,BLRJYN-MCM-O-I614-01,Shelf-1,100.66.74.141
,,,,Shelf-2,100.66.74.142
,,,,Shelf-3,100.66.74.143
Delhi,NOIDA DC,UP-NDA-NDO-T1-ST,NDANDO-MCN-O-I614-01,Shelf-1,100.66.90.129
,,,,Shelf-2,100.66.90.130
,,,,Shelf-3,100.66.90.131
,,,,Shelf-4,100.66.90.132
,OKHLA,DL-DEL-OKH-T1-ST,DELOKH-MCN-O-I614-01,Shelf-1,100.66.90.133
,,,,Shelf-2,100.66.90.134
,,,,Shelf-3,100.66.90.135
,GURGAON,,GGNGGN-MCD-O-I614-01,Shelf-1,100.66.90.136
,,,,Shelf-2,100.66.90.137
,TATA VSB,DL-DEL-YPN-B1-YP,DELYPN-MCD-O-I614-01,Shelf-1,100.66.90.138
,,,,Shelf-2,100.66.90.139
,,,,Shelf-3,100.66.90.140
,NETMAGIC,UP-NDA-NNM-B1-NM,NDANNM-MCD-O-I614-01,Shelf-1,100.66.90.141
,,,,Shelf-2,100.66.90.142
,,,,Shelf-3,100.66.90.143
,TCL GKI,DL-DEL-GRI-B3-TA,DELGRI-MCD-O-I614-01,Shelf-1,100.66.90.144
,,,,Shelf-2,100.66.90.145
,,,,Shelf-3,100.66.90.146
,NEXTRA DC,UP-NDA-TAS-B1-BL,NDATAS-MCD-O-I614-01,Shelf-1,100.66.90.147
,,,,Shelf-2,100.66.90.148
,,,,Shelf-3,100.66.90.149
,NOIDA SEC-18,,UPOCN-MCM-O-1657-01,Shelf-1,100.66.90.151
,NOIDA SEC-1,,UPNDA-MCM-O-1657-01,Shelf-1,100.66.90.152
